2024-07-29 00:07:12,429 INFO    wandb-upload_0:15728 [upload_job.py:push():131] Uploaded file C:\Users\MINI-K~1\AppData\Local\Temp\tmpr92jfyzwwandb\x8kgdg7u-wandb-metadata.json
2024-07-29 00:07:13,907 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: status_report
2024-07-29 00:07:14,259 INFO    Thread-17 :15728 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\mini-KRONOS\OneDrive\Documents\visuo_solution\experiment\wandb\run-20240729_000702-ftrgb2b4\files\output.log
2024-07-29 00:07:18,966 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: status_report
2024-07-29 00:07:23,986 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: status_report
2024-07-29 00:07:26,208 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: internal_messages
2024-07-29 00:07:26,231 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: stop_status
2024-07-29 00:07:26,232 DEBUG   SenderThread:15728 [sender.py:send_request():409] send_request: stop_status
2024-07-29 00:07:29,460 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: status_report
2024-07-29 00:07:34,519 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: status_report
2024-07-29 00:07:35,449 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: log_artifact
2024-07-29 00:07:35,451 DEBUG   SenderThread:15728 [sender.py:send_request():409] send_request: log_artifact
2024-07-29 00:07:35,462 INFO    Thread-17 :15728 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\mini-KRONOS\OneDrive\Documents\visuo_solution\experiment\wandb\run-20240729_000702-ftrgb2b4\files\config.yaml
2024-07-29 00:07:36,447 DEBUG   HandlerThread:15728 [handler.py:handle_request():146] handle_request: partial_history
2024-07-29 00:07:36,469 INFO    Thread-17 :15728 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\mini-KRONOS\OneDrive\Documents\visuo_solution\experiment\wandb\run-20240729_000702-ftrgb2b4\files\media\table\SQL Queries_0_9b76223566265dbd14e1.table.json
2024-07-29 00:07:36,472 INFO    Thread-17 :15728 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\mini-KRONOS\OneDrive\Documents\visuo_solution\experiment\wandb\run-20240729_000702-ftrgb2b4\files\media
2024-07-29 00:07:36,473 INFO    Thread-17 :15728 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\mini-KRONOS\OneDrive\Documents\visuo_solution\experiment\wandb\run-20240729_000702-ftrgb2b4\files\media\table
